service,service_name,geo_type,geo_name,geo_slug,tier,proposed_url,priority,action
narkolog-na-dom,Нарколог на дом,metro,Царицыно,caricyno,core,/uslugi/narkologicheskaya-pomosh/narkolog-na-dom/metro/caricyno/,P0,migrate/create
narkolog-na-dom,Нарколог на дом,metro,ЦСКА,cska,core,/uslugi/narkologicheskaya-pomosh/narkolog-na-dom/metro/cska/,P0,migrate/create
narkolog-na-dom,Нарколог на дом,metro,Цветной бульвар,cvetnoj-bulvar,core,/uslugi/narkologicheskaya-pomosh/narkolog-na-dom/metro/cvetnoj-bulvar/,P0,migrate/create
narkolog-na-dom,Нарколог на дом,metro,Деловой центр,delovoj-centr,core,/uslugi/narkologicheskaya-pomosh/narkolog-na-dom/metro/delovoj-centr/,P0,migrate/create
narkolog-na-dom,Нарколог на дом,metro,Динамо,dinamo,core,/uslugi/narkologicheskaya-pomosh/narkolog-na-dom/metro/dinamo/,P0,migrate/create
narkolog-na-dom,Нарколог на дом,metro,Дмитровская,dmitrovskaya,core,/uslugi/narkologicheskaya-pomosh/narkolog-na-dom/metro/dmitrovskaya/,P0,migrate/create
narkolog-na-dom,Нарколог на дом,metro,Добрынинская,dobryninskaya,core,/uslugi/narkologicheskaya-pomosh/narkolog-na-dom/metro/dobryninskaya/,P0,migrate/create
narkolog-na-dom,Нарколог на дом,metro,Домодедовская,domodedovskaya,core,/uslugi/narkologicheskaya-pomosh/narkolog-na-dom/metro/domodedovskaya/,P0,migrate/create
narkolog-na-dom,Нарколог на дом,metro,Достоевская,dostoevskaya,core,/uslugi/narkologicheskaya-pomosh/narkolog-na-dom/metro/dostoevskaya/,P0,migrate/create
narkolog-na-dom,Нарколог на дом,metro,Электрозаводская,elektrozavodskaya,core,/uslugi/narkologicheskaya-pomosh/narkolog-na-dom/metro/elektrozavodskaya/,P0,migrate/create
narkolog-na-dom,Нарколог на дом,metro,Филёвский парк,filevskij-park,core,/uslugi/narkologicheskaya-pomosh/narkolog-na-dom/metro/filevskij-park/,P0,migrate/create
narkolog-na-dom,Нарколог на дом,metro,Фили,fili,core,/uslugi/narkologicheskaya-pomosh/narkolog-na-dom/metro/fili/,P0,migrate/create
narkolog-na-dom,Нарколог на дом,metro,Фонвизинская,fonvizinskaya,core,/uslugi/narkologicheskaya-pomosh/narkolog-na-dom/metro/fonvizinskaya/,P0,migrate/create
narkolog-na-dom,Нарколог на дом,metro,Фрунзенская,frunzenskaya,core,/uslugi/narkologicheskaya-pomosh/narkolog-na-dom/metro/frunzenskaya/,P0,migrate/create
narkolog-na-dom,Нарколог на дом,metro,Хорошёвская,horoshevskaya,core,/uslugi/narkologicheskaya-pomosh/narkolog-na-dom/metro/horoshevskaya/,P0,migrate/create
narkolog-na-dom,Нарколог на дом,metro,Ховрино,hovrino,core,/uslugi/narkologicheskaya-pomosh/narkolog-na-dom/metro/hovrino/,P0,migrate/create
narkolog-na-dom,Нарколог на дом,metro,Измайловская,izmajlovskaya,core,/uslugi/narkologicheskaya-pomosh/narkolog-na-dom/metro/izmajlovskaya/,P0,migrate/create
narkolog-na-dom,Нарколог на дом,metro,Каховская,kahovskaya,core,/uslugi/narkologicheskaya-pomosh/narkolog-na-dom/metro/kahovskaya/,P0,migrate/create
narkolog-na-dom,Нарколог на дом,metro,Калужская,kaluzhskaya,core,/uslugi/narkologicheskaya-pomosh/narkolog-na-dom/metro/kaluzhskaya/,P0,migrate/create
narkolog-na-dom,Нарколог на дом,metro,Кантемировская,kantemirovskaya,core,/uslugi/narkologicheskaya-pomosh/narkolog-na-dom/metro/kantemirovskaya/,P0,migrate/create
narkolog-na-dom,Нарколог на дом,metro,Каширская,kashirskaya,core,/uslugi/narkologicheskaya-pomosh/narkolog-na-dom/metro/kashirskaya/,P0,migrate/create
narkolog-na-dom,Нарколог на дом,metro,Киевская,kievskaya,core,/uslugi/narkologicheskaya-pomosh/narkolog-na-dom/metro/kievskaya/,P0,migrate/create
narkolog-na-dom,Нарколог на дом,metro,Китай-город,kitaj-gorod,core,/uslugi/narkologicheskaya-pomosh/narkolog-na-dom/metro/kitaj-gorod/,P0,migrate/create
narkolog-na-dom,Нарколог на дом,metro,Коломенская,kolomenskaya,core,/uslugi/narkologicheskaya-pomosh/narkolog-na-dom/metro/kolomenskaya/,P0,migrate/create
narkolog-na-dom,Нарколог на дом,metro,Комсомольская,komsomolskaya,core,/uslugi/narkologicheskaya-pomosh/narkolog-na-dom/metro/komsomolskaya/,P0,migrate/create
narkolog-na-dom,Нарколог на дом,metro,Коньково,konkovo,core,/uslugi/narkologicheskaya-pomosh/narkolog-na-dom/metro/konkovo/,P0,migrate/create
narkolog-na-dom,Нарколог на дом,metro,Коптево,koptevo,core,/uslugi/narkologicheskaya-pomosh/narkolog-na-dom/metro/koptevo/,P0,migrate/create
narkolog-na-dom,Нарколог на дом,metro,Котельники,kotelniki,core,/uslugi/narkologicheskaya-pomosh/narkolog-na-dom/metro/kotelniki/,P0,migrate/create
narkolog-na-dom,Нарколог на дом,metro,Кожуховская,kozhuhovskaya,core,/uslugi/narkologicheskaya-pomosh/narkolog-na-dom/metro/kozhuhovskaya/,P0,migrate/create
narkolog-na-dom,Нарколог на дом,metro,Красногвардейская,krasnogvardejskaya,core,/uslugi/narkologicheskaya-pomosh/narkolog-na-dom/metro/krasnogvardejskaya/,P0,migrate/create
narkolog-na-dom,Нарколог на дом,metro,Краснопресненская,krasnopresnenskaya,core,/uslugi/narkologicheskaya-pomosh/narkolog-na-dom/metro/krasnopresnenskaya/,P0,migrate/create
narkolog-na-dom,Нарколог на дом,metro,Красносельская,krasnoselskaya,core,/uslugi/narkologicheskaya-pomosh/narkolog-na-dom/metro/krasnoselskaya/,P0,migrate/create
narkolog-na-dom,Нарколог на дом,metro,Красные ворота,krasnye-vorota,core,/uslugi/narkologicheskaya-pomosh/narkolog-na-dom/metro/krasnye-vorota/,P0,migrate/create
narkolog-na-dom,Нарколог на дом,metro,Крестьянская застава,krestyanskaya-zastava,core,/uslugi/narkologicheskaya-pomosh/narkolog-na-dom/metro/krestyanskaya-zastava/,P0,migrate/create
narkolog-na-dom,Нарколог на дом,metro,Кропоткинская,kropotkinskaya,core,/uslugi/narkologicheskaya-pomosh/narkolog-na-dom/metro/kropotkinskaya/,P0,migrate/create
narkolog-na-dom,Нарколог на дом,metro,Крылатское,krylatskoe,core,/uslugi/narkologicheskaya-pomosh/narkolog-na-dom/metro/krylatskoe/,P0,migrate/create
narkolog-na-dom,Нарколог на дом,metro,Крымская,krymskaya,core,/uslugi/narkologicheskaya-pomosh/narkolog-na-dom/metro/krymskaya/,P0,migrate/create
narkolog-na-dom,Нарколог на дом,metro,Кунцевская,kuncevskaya,core,/uslugi/narkologicheskaya-pomosh/narkolog-na-dom/metro/kuncevskaya/,P0,migrate/create
narkolog-na-dom,Нарколог на дом,metro,Курская,kurskaya,core,/uslugi/narkologicheskaya-pomosh/narkolog-na-dom/metro/kurskaya/,P0,migrate/create
narkolog-na-dom,Нарколог на дом,metro,Кутузовская,kutuzovskaya,core,/uslugi/narkologicheskaya-pomosh/narkolog-na-dom/metro/kutuzovskaya/,P0,migrate/create
narkolog-na-dom,Нарколог на дом,metro,Кузьминки,kuzminki,core,/uslugi/narkologicheskaya-pomosh/narkolog-na-dom/metro/kuzminki/,P0,migrate/create
narkolog-na-dom,Нарколог на дом,metro,Кузнецкий мост,kuzneckij-most,core,/uslugi/narkologicheskaya-pomosh/narkolog-na-dom/metro/kuzneckij-most/,P0,migrate/create
